location,El Ecuador,El Ecuador,El Ecuador,El Ecuador
lat,3.51390,3.51390,3.51390,3.51390
lon,-73.89452,-73.89452,-73.89452,-73.89452
asl,614.350,614.350,614.350,614.350
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,El Ecuador Temperature [2 m elevation corrected],El Ecuador Precipitation Total,El Ecuador Wind Speed [10 m],El Ecuador Wind Direction [10 m]
20201110T0000,22.705772,0.8,1.08,89.99999
20201110T0100,22.255772,0.7,1.484318,104.03624
20201110T0200,21.775772,0.0,1.08,89.99999
20201110T0300,21.805773,0.1,1.8,89.99999
20201110T0400,21.845772,0.5,4.68,89.99999
20201110T0500,21.495771,0.4,7.208994,92.862404
20201110T0600,21.345772,0.1,6.9899354,101.88866
20201110T0700,21.565773,1.6,0.8049845,116.56505
20201110T0800,21.695772,0.8,2.5455842,98.1301
20201110T0900,21.945772,0.3,3.2399998,89.99999
20201110T1000,22.075771,0.0,4.379589,99.46232
20201110T1100,22.245771,0.0,3.9763298,84.805565
20201110T1200,22.505772,0.0,5.0528407,94.08562
20201110T1300,22.575771,0.2,5.04,89.99999
20201110T1400,22.215773,0.2,4.68,89.99999
20201110T1500,22.385773,0.0,4.3349743,85.23635
20201110T1600,22.105772,0.0,3.7585104,73.30075
20201110T1700,21.795773,0.0,2.9024127,60.25511
20201110T1800,21.685772,0.0,3.0758414,20.556046
20201110T1900,21.685772,0.0,3.4152596,18.434952
20201110T2000,21.645773,0.0,3.7585104,16.69925
20201110T2100,21.275772,0.0,4.73506,8.74614
20201110T2200,21.025772,0.0,5.771239,3.5763245
20201110T2300,20.665771,0.0,4.68,360.0
20201111T0000,20.445772,0.0,1.5273507,315.0
20201111T0100,20.505772,0.0,2.4149535,243.43495
20201111T0200,20.405773,0.0,2.7416782,246.8014
20201111T0300,20.305773,0.0,2.8799999,270.0
20201111T0400,20.095772,0.0,2.6208394,285.9454
20201111T0500,19.775772,0.0,2.7416782,293.1986
20201111T0600,19.545773,0.0,3.2399998,270.0
20201111T0700,23.775772,0.0,1.1384199,161.56505
20201111T0800,25.195772,0.0,5.904439,52.431404
20201111T0900,26.325771,0.0,9.085988,56.30993
20201111T1000,27.165771,0.0,11.457958,43.726974
20201111T1100,27.475773,0.0,12.096214,53.47113
20201111T1200,27.325771,0.0,11.435313,61.821404
20201111T1300,26.705772,0.0,9.983106,64.358986
20201111T1400,25.315773,0.0,8.287822,55.61966
20201111T1500,24.875772,0.0,7.127636,44.999985
20201111T1600,24.425772,0.0,6.1305785,40.236343
20201111T1700,23.895773,0.0,4.6102495,51.34018
