time_start,time_end,cloud_description,clouds,precip,temperature,icon,code
2016-10-01,2016-10-02,Overcast_clouds,91.48,0.0,24.22,c04n,804
2016-10-02,2016-10-03,Overcast_clouds,87.12,0.0,24.33,c04n,804
2016-10-03,2016-10-04,Overcast_clouds,80.73,0.0,25.8,c04n,804
2016-10-04,2016-10-05,Overcast_clouds,91.15,0.0,25.46,c04d,804
2016-10-05,2016-10-06,Overcast_clouds,84.47,0.0,24.84,c04n,804
2016-10-06,2016-10-07,Overcast_clouds,86.59,0.0,25.09,c04n,804
2016-10-07,2016-10-08,Overcast_clouds,90.69,0.0,23.75,c04n,804
2016-10-08,2016-10-09,Overcast_clouds,95.75,0.0,22.75,c04n,804
2016-10-09,2016-10-10,Overcast_clouds,80.0,0.0,22.2,c04n,804
2016-10-10,2016-10-11,Overcast_clouds,81.72,0.0,24.89,c04n,804
2016-10-11,2016-10-12,Overcast_clouds,,,,,
2016-10-12,2016-10-13,Overcast_clouds,86.22,0.0,27.56,c04d,804
2016-10-13,2016-10-14,Overcast_clouds,77.2,0.0,22.6,c04n,804
2016-10-14,2016-10-15,Overcast_clouds,79.07,0.0,23.0,c04n,804
2016-10-15,2016-10-16,Overcast_clouds,87.36,0.0,23.36,c04n,804
2016-10-16,2016-10-17,Overcast_clouds,82.23,0.0,23.15,c04n,804
2016-10-17,2016-10-18,Overcast_clouds,86.75,0.0,21.0,c04n,804
2016-10-18,2016-10-19,Overcast_clouds,,,,,
2016-10-19,2016-10-20,Overcast_clouds,,,,,
2016-10-20,2016-10-21,Overcast_clouds,83.0,0.0,28.86,c04d,804
2016-10-21,2016-10-22,Overcast_clouds,81.2,0.0,22.6,c04n,804
2016-10-22,2016-10-23,Overcast_clouds,,,,,
2016-10-23,2016-10-24,Overcast_clouds,,,,,
2016-10-24,2016-10-25,Overcast_clouds,91.14,0.0,3.14,c04n,804
2016-10-25,2016-10-26,Overcast_clouds,77.14,0.0,21.0,c04n,804
2016-10-26,2016-10-27,Overcast_clouds,88.2,0.0,24.8,c04n,804
2016-10-27,2016-10-28,Overcast_clouds,81.22,0.0,20.11,c04n,804
2016-10-28,2016-10-29,Overcast_clouds,83.0,0.0,21.88,c04n,804
2016-10-29,2016-10-30,Overcast_clouds,81.0,0.0,22.3,c04n,804
2016-10-30,2016-10-31,Overcast_clouds,81.33,0.0,21.0,c04n,804
2016-10-31,2016-11-01,Overcast_clouds,88.95,0.0,23.57,c04n,804
2016-11-01,2016-11-02,Overcast_clouds,92.44,0.0,23.62,c04n,804
2016-11-02,2016-11-03,Overcast_clouds,87.14,0.0,24.71,c04d,804
2016-11-03,2016-11-04,Overcast_clouds,93.85,0.0,21.92,c04n,804
2016-11-04,2016-11-05,Overcast_clouds,76.0,0.0,21.67,c04n,804
2016-11-05,2016-11-06,Overcast_clouds,,,,,
2016-11-06,2016-11-07,Overcast_clouds,75.0,0.0,22.0,c04n,804
2016-11-07,2016-11-08,Overcast_clouds,85.67,0.0,21.67,c04n,804
2016-11-08,2016-11-09,Overcast_clouds,73.0,0.0,23.5,c04d,804
2016-11-09,2016-11-10,Overcast_clouds,,,,,
2016-11-10,2016-11-11,Overcast_clouds,87.75,0.0,19.0,c04n,804
2016-11-11,2016-11-12,Overcast_clouds,90.42,0.0,5.26,c04n,804
2016-11-12,2016-11-13,Overcast_clouds,88.67,0.0,26.93,c04n,804
2016-11-13,2016-11-14,Overcast_clouds,85.17,0.0,26.25,c04n,804
2016-11-14,2016-11-15,Overcast_clouds,83.9,0.0,25.71,c04n,804
2016-11-15,2016-11-16,Overcast_clouds,82.2,0.0,26.8,c04n,804
2016-11-16,2016-11-17,Overcast_clouds,83.61,0.0,25.56,c04n,804
2016-11-17,2016-11-18,Overcast_clouds,88.42,0.0,25.5,c04n,804
2016-11-18,2016-11-19,Overcast_clouds,81.62,0.0,24.38,c04n,804
2016-11-19,2016-11-20,Overcast_clouds,84.79,0.0,20.46,c04n,804
2016-11-20,2016-11-21,Overcast_clouds,88.95,0.0,23.45,c04n,804
2016-11-21,2016-11-22,Overcast_clouds,92.38,0.0,22.69,c04n,804
2016-11-22,2016-11-23,Overcast_clouds,92.08,0.0,22.92,c04n,804
2016-11-23,2016-11-24,Overcast_clouds,90.82,0.0,21.27,c04n,804
2016-11-24,2016-11-25,Overcast_clouds,89.5,0.0,27.0,c04n,804
2016-11-25,2016-11-26,Overcast_clouds,91.12,0.0,26.0,c04n,804
2016-11-26,2016-11-27,Overcast_clouds,90.14,0.0,23.57,c04n,804
2016-11-27,2016-11-28,Overcast_clouds,93.41,0.0,24.82,c04n,804
2016-11-28,2016-11-29,Overcast_clouds,93.35,0.0,23.88,c04n,804
2016-11-29,2016-11-30,Overcast_clouds,94.74,0.0,25.16,c04n,804
2016-11-30,2016-12-01,Overcast_clouds,83.75,0.0,6.25,c04n,804
2016-12-01,2016-12-02,Overcast_clouds,80.88,0.0,24.62,c04n,804
2016-12-02,2016-12-03,Overcast_clouds,88.89,0.0,24.28,c04n,804
2016-12-03,2016-12-04,Overcast_clouds,93.08,0.0,25.08,c04n,804
2016-12-04,2016-12-05,Overcast_clouds,94.72,0.0,27.78,c04n,804
2016-12-05,2016-12-06,Overcast_clouds,81.85,0.0,25.85,c04n,804
2016-12-06,2016-12-07,Overcast_clouds,84.62,0.0,24.54,c04n,804
2016-12-07,2016-12-08,Overcast_clouds,91.71,0.0,26.54,c04n,804
2016-12-08,2016-12-09,Overcast_clouds,87.9,0.0,26.52,c04n,804
2016-12-09,2016-12-10,Overcast_clouds,93.23,0.0,26.69,c04n,804
2016-12-10,2016-12-11,Overcast_clouds,91.07,0.0,25.43,c04n,804
2016-12-11,2016-12-12,Overcast_clouds,90.55,0.0,25.09,c04n,804
2016-12-12,2016-12-13,Overcast_clouds,89.73,0.0,24.8,c04n,804
2016-12-13,2016-12-14,Overcast_clouds,79.1,0.0,25.7,c04n,804
2016-12-14,2016-12-15,Overcast_clouds,96.42,0.0,26.42,c04n,804
2016-12-15,2016-12-16,Overcast_clouds,92.9,0.0,25.45,c04n,804
2016-12-16,2016-12-17,Overcast_clouds,85.67,0.0,25.17,c04n,804
2016-12-17,2016-12-18,Overcast_clouds,91.55,0.0,24.09,c04n,804
2016-12-18,2016-12-19,Overcast_clouds,72.5,0.0,25.0,c04n,804
2016-12-19,2016-12-20,Overcast_clouds,84.86,0.0,28.86,c04d,804
2016-12-20,2016-12-21,Overcast_clouds,89.14,0.0,26.86,c04n,804
2016-12-21,2016-12-22,Overcast_clouds,95.57,0.0,24.86,c04n,804
2016-12-22,2016-12-23,Overcast_clouds,91.82,0.0,28.18,c04d,804
2016-12-23,2016-12-24,Overcast_clouds,94.0,0.0,28.29,c04n,804
2016-12-24,2016-12-25,Overcast_clouds,95.46,0.0,26.38,c04n,804
2016-12-25,2016-12-26,Overcast_clouds,90.36,0.0,27.57,c04n,804
