time_start,time_end,cloud_description,clouds,precip,temperature,icon,code
2016-10-01,2016-10-02,Scattered_clouds,,,,,
2016-10-02,2016-10-03,Scattered_clouds,,,,,
2016-10-03,2016-10-04,Scattered_clouds,35.5,0.0,23.75,c02d,802
2016-10-04,2016-10-05,Scattered_clouds,27.75,0.0,23.0,c02n,802
2016-10-05,2016-10-06,Scattered_clouds,,,,,
2016-10-06,2016-10-07,Scattered_clouds,,,,,
2016-10-07,2016-10-08,Scattered_clouds,,,,,
2016-10-08,2016-10-09,Scattered_clouds,28.08,0.0,25.17,c02n,802
2016-10-09,2016-10-10,Scattered_clouds,,,,,
2016-10-10,2016-10-11,Scattered_clouds,39.0,0.0,31.0,c02d,802
2016-10-11,2016-10-12,Scattered_clouds,33.7,0.0,21.9,c02n,802
2016-10-12,2016-10-13,Scattered_clouds,33.0,0.0,23.4,c02n,802
2016-10-13,2016-10-14,Scattered_clouds,27.0,0.0,26.0,c02d,802
2016-10-14,2016-10-15,Scattered_clouds,36.33,0.0,29.67,c02d,802
2016-10-15,2016-10-16,Scattered_clouds,31.25,0.0,30.0,c02d,802
2016-10-16,2016-10-17,Scattered_clouds,32.4,0.0,25.0,c02d,802
2016-10-17,2016-10-18,Scattered_clouds,28.0,0.0,23.8,c02n,802
2016-10-18,2016-10-19,Scattered_clouds,39.0,0.0,23.0,c02d,802
2016-10-19,2016-10-20,Scattered_clouds,26.5,0.0,25.5,c02n,802
2016-10-20,2016-10-21,Scattered_clouds,28.33,0.0,24.56,c02n,802
2016-10-21,2016-10-22,Scattered_clouds,31.5,0.0,26.0,c02n,802
2016-10-22,2016-10-23,Scattered_clouds,28.4,0.0,27.0,c02n,802
2016-10-23,2016-10-24,Scattered_clouds,28.77,0.0,14.77,c02n,802
2016-10-24,2016-10-25,Scattered_clouds,30.0,0.0,20.5,c02n,802
2016-10-25,2016-10-26,Scattered_clouds,30.33,0.0,25.78,c02d,802
2016-10-26,2016-10-27,Scattered_clouds,31.0,0.0,23.17,c02n,802
2016-10-27,2016-10-28,Scattered_clouds,32.6,0.0,25.5,c02d,802
2016-10-28,2016-10-29,Scattered_clouds,34.36,0.0,25.82,c02d,802
2016-10-29,2016-10-30,Scattered_clouds,28.62,0.0,24.25,c02d,802
2016-10-30,2016-10-31,Scattered_clouds,28.4,0.0,22.0,c02n,802
2016-10-31,2016-11-01,Scattered_clouds,31.5,0.0,21.0,c02n,802
2016-11-01,2016-11-02,Scattered_clouds,35.17,0.0,24.67,c02d,802
2016-11-02,2016-11-03,Scattered_clouds,,,,,
2016-11-03,2016-11-04,Scattered_clouds,38.5,0.0,24.5,c02d,802
2016-11-04,2016-11-05,Scattered_clouds,31.38,0.0,25.12,c02n,802
2016-11-05,2016-11-06,Scattered_clouds,30.7,0.0,24.5,c02n,802
2016-11-06,2016-11-07,Scattered_clouds,28.25,0.0,23.75,c02n,802
2016-11-07,2016-11-08,Scattered_clouds,30.5,0.0,24.5,c02n,802
2016-11-08,2016-11-09,Scattered_clouds,30.57,0.0,24.71,c02n,802
2016-11-09,2016-11-10,Scattered_clouds,26.33,0.0,25.17,c02n,802
2016-11-10,2016-11-11,Scattered_clouds,,,,,
2016-11-11,2016-11-12,Scattered_clouds,,,,,
2016-11-12,2016-11-13,Scattered_clouds,32.33,0.0,27.83,c02d,802
2016-11-13,2016-11-14,Scattered_clouds,,,,,
2016-11-14,2016-11-15,Scattered_clouds,,,,,
2016-11-15,2016-11-16,Scattered_clouds,29.0,0.0,25.0,c02d,802
2016-11-16,2016-11-17,Scattered_clouds,,,,,
2016-11-17,2016-11-18,Scattered_clouds,,,,,
2016-11-18,2016-11-19,Scattered_clouds,35.0,0.0,23.0,c02d,802
2016-11-19,2016-11-20,Scattered_clouds,,,,,
2016-11-20,2016-11-21,Scattered_clouds,,,,,
2016-11-21,2016-11-22,Scattered_clouds,,,,,
2016-11-22,2016-11-23,Scattered_clouds,,,,,
2016-11-23,2016-11-24,Scattered_clouds,31.83,0.0,25.67,c02d,802
2016-11-24,2016-11-25,Scattered_clouds,31.75,0.0,25.25,c02d,802
2016-11-25,2016-11-26,Scattered_clouds,,,,,
2016-11-26,2016-11-27,Scattered_clouds,29.5,0.0,26.0,c02n,802
2016-11-27,2016-11-28,Scattered_clouds,,,,,
2016-11-28,2016-11-29,Scattered_clouds,27.5,0.0,31.0,c02d,802
2016-11-29,2016-11-30,Scattered_clouds,35.0,0.0,25.0,c02n,802
2016-11-30,2016-12-01,Scattered_clouds,31.5,0.0,20.83,c02n,802
2016-12-01,2016-12-02,Scattered_clouds,38.25,0.0,26.0,c02n,802
2016-12-02,2016-12-03,Scattered_clouds,,,,,
2016-12-03,2016-12-04,Scattered_clouds,30.0,0.0,30.17,c02d,802
2016-12-04,2016-12-05,Scattered_clouds,,,,,
2016-12-05,2016-12-06,Scattered_clouds,,,,,
2016-12-06,2016-12-07,Scattered_clouds,40.0,0.0,30.0,c02d,802
2016-12-07,2016-12-08,Scattered_clouds,,,,,
2016-12-08,2016-12-09,Scattered_clouds,,,,,
2016-12-09,2016-12-10,Scattered_clouds,27.5,0.0,26.5,c02d,802
2016-12-10,2016-12-11,Scattered_clouds,28.0,0.0,32.5,c02d,802
2016-12-11,2016-12-12,Scattered_clouds,25.33,0.0,31.33,c02d,802
2016-12-12,2016-12-13,Scattered_clouds,,,,,
2016-12-13,2016-12-14,Scattered_clouds,,,,,
2016-12-14,2016-12-15,Scattered_clouds,,,,,
2016-12-15,2016-12-16,Scattered_clouds,,,,,
2016-12-16,2016-12-17,Scattered_clouds,,,,,
2016-12-17,2016-12-18,Scattered_clouds,26.0,0.0,30.0,c02d,802
2016-12-18,2016-12-19,Scattered_clouds,26.64,0.0,27.64,c02n,802
2016-12-19,2016-12-20,Scattered_clouds,34.4,0.0,24.0,c02n,802
2016-12-20,2016-12-21,Scattered_clouds,25.0,0.0,30.5,c02d,802
2016-12-21,2016-12-22,Scattered_clouds,28.33,0.0,25.67,c02d,802
2016-12-22,2016-12-23,Scattered_clouds,40.0,0.0,25.0,c02n,802
2016-12-23,2016-12-24,Scattered_clouds,,,,,
2016-12-24,2016-12-25,Scattered_clouds,,,,,
2016-12-25,2016-12-26,Scattered_clouds,40.0,0.0,34.0,c02d,802
2016-12-26,2016-12-27,Scattered_clouds,35.33,0.0,32.22,c02d,802
2016-12-27,2016-12-28,Scattered_clouds,29.5,0.0,31.75,c02d,802
2016-12-28,2016-12-29,Scattered_clouds,37.5,0.0,27.5,c02d,802
2016-12-29,2016-12-30,Scattered_clouds,,,,,
2016-12-30,2016-12-31,Scattered_clouds,,,,,
2016-12-31,2017-01-01,Scattered_clouds,33.0,0.0,30.33,c02d,802
2017-01-01,2017-01-02,Scattered_clouds,,,,,
2017-01-02,2017-01-03,Scattered_clouds,,,,,
2017-01-03,2017-01-04,Scattered_clouds,31.5,0.0,29.75,c02d,802
2017-01-04,2017-01-05,Scattered_clouds,30.5,0.0,25.5,c02d,802
2017-01-05,2017-01-06,Scattered_clouds,40.0,0.0,25.0,c02d,802
2017-01-06,2017-01-07,Scattered_clouds,,,,,
2017-01-07,2017-01-08,Scattered_clouds,,,,,
2017-01-08,2017-01-09,Scattered_clouds,,,,,
2017-01-09,2017-01-10,Scattered_clouds,,,,,
2017-01-10,2017-01-11,Scattered_clouds,37.5,0.0,26.0,c02d,802
2017-01-11,2017-01-12,Scattered_clouds,,,,,
2017-01-12,2017-01-13,Scattered_clouds,,,,,
2017-01-13,2017-01-14,Scattered_clouds,,,,,
2017-01-14,2017-01-15,Scattered_clouds,,,,,
2017-01-15,2017-01-16,Scattered_clouds,,,,,
2017-01-16,2017-01-17,Scattered_clouds,35.67,0.0,29.33,c02d,802
2017-01-17,2017-01-18,Scattered_clouds,36.2,0.0,29.8,c02d,802
2017-01-18,2017-01-19,Scattered_clouds,36.0,0.0,25.5,c02n,802
2017-01-19,2017-01-20,Scattered_clouds,,,,,
2017-01-20,2017-01-21,Scattered_clouds,,,,,
2017-01-21,2017-01-22,Scattered_clouds,,,,,
2017-01-22,2017-01-23,Scattered_clouds,35.5,0.0,30.5,c02d,802
2017-01-23,2017-01-24,Scattered_clouds,,,,,
2017-01-24,2017-01-25,Scattered_clouds,40.0,0.0,31.0,c02d,802
2017-01-25,2017-01-26,Scattered_clouds,,,,,
2017-01-26,2017-01-27,Scattered_clouds,,,,,
2017-01-27,2017-01-28,Scattered_clouds,,,,,
2017-01-28,2017-01-29,Scattered_clouds,,,,,
2017-01-29,2017-01-30,Scattered_clouds,,,,,
2017-01-30,2017-01-31,Scattered_clouds,,,,,
