time_start,time_end,temperature,precips,clouds
2018-10-01,2018-10-02,"[23, 23, 22, 22, 21, 22, 22, 21.8, 23, 23, 25, 26, 26, 27, 28, 27, 27, 27, 26, 25, 24, 23, 23, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[70, 72, 78, 80, 76, 76, 75, 70, 64, 58, 45, 32, 27, 24, 28, 40, 42, 38, 36, 39, 46, 47, 48, 58]"
2018-10-02,2018-10-03,"[22, None, None, None, 22, 22, 22, 22.1, 23.1, 24, 25, 25, 26, 27.1, 27, 28, 28, 27, 27, 25, 23, 22, 22, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[67, 65, 61, 59, 61, 58, 48, 42, 36, 31, 28, 29, 40, 55, 70, 71, 72, 70, 69, 68, 58, 53, 64, 71]"
2018-10-03,2018-10-04,"[22, 22, 22, 22, 22, 22, 22, 22.4, 23, 24, 26, 27, 27, 27.4, 27, 27, 27, 26, 25, 23.8, 23, 23, 22, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[68, 77, 91, 95, 95, 95, 85, 58, 29, 12, 9, 14, 31, 59, 77, 83, 75, 54, 35, 34, 47, 45, 39, 39]"
2018-10-04,2018-10-05,"[22, 22, 22, 22, 22, 22, 21, 21.6, 22, 23, 24, 24, 25, 25, 25, 25, 26, 26, 24, 22.6, 22, 22, 22, 21]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[47, 65, 78, 77, 63, 49, 37, 28, 17, 4, 1, 2, 19, 49, 67, 74, 73, 70, 66, 60, 55, 47, 45, 54]"
2018-10-05,2018-10-06,"[22, 22, 21, 21, 21, 21, 21, 22, 23, 23, 24, 25, 25, 25, 26, 26, 26, 26, 25, 24, 23, 23, 22, 21]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0.1, 0.2, 0.3, 0.2, 0.2, 0.2, 0.2, 0.2, 0.1, 0]","[55, 57, 57, 55, 48, 45, 58, 74, 89, 94, 94, 90, 73, 43, 21, 7, 2, 10, 16, 24, 36, 39, 33, 26]"
2018-10-06,2018-10-07,"[21, 21, 20, 21, 22, 21, 22, 22.3, 22, 23, 23.9, 25, 26, 26.2, 27, 28, 27.2, 26, 25, 24.1, 24, 23, 23, 23]","[0, 0, 0, 0.1, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0.1, 0.1, 0.1, 0, 0.1, 0.1, 0.1]","[23, 27, 30, 30, 30, 36, 41, 51, 53, 44, 44, 63, 81, 92, 95, 96, 95, 91, 85, 85, 92, 97, 97, 97]"
2018-10-07,2018-10-08,"[23, 22, 22, 22, 22, 22, 22, 22.4, 23, 24, 24.5, 25, 26, 26, 26, 27, 26.8, 26, 25, 24.3, 24, 23, 23, 22]","[0, 0, 0, 0, 0, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 97, 97, 98, 98, 94, 87, 84, 83, 82, 82, 93, 97, 97, 93, 91, 93, 87, 89, 89, 89, 89, 75, 66]"
2018-10-08,2018-10-09,"[22, 22, 23, 22, 22, 22, 22, 23, 23, 25, 25, 26, 27, 29.2, 29, 30, 30, 29, 27, 26.4, 25, 24, 24, 24]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[72, 84, 94, 97, 97, 98, 97, 97, 97, 96, 91, 79, 68, 66, 57, 54, 50, 48, 54, 64, 69, 67, 62, 57]"
2018-10-09,2018-10-10,"[23, 23, 22, 22, 22, 22, 22, 22.4, 23, 24, 25, 26, 27, 27.1, 27, 28, 27.4, 27, 26, 24.8, 24, 23, 23, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[56, 57, 58, 57, 63, 76, 80, 82, 77, 64, 60, 55, 60, 71, 77, 80, 66, 46, 52, 71, 86, 87, 88, 88]"
2018-10-10,2018-10-11,"[22, 22, 22, 22, 22, 22, 22, 22, 23, 24, 24.7, 25, 26, 25.6, 24, 24, 24, 23, 23, 22.9, 22, 22, 22, 21]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[87, 87, 85, 81, 80, 78, 72, 69, 69, 71, 73, 75, 82, 82, 84, 82, 83, 86, 87, 87, 87, 87, 86, 87]"
2018-10-11,2018-10-12,"[21, 21, 22, 22, 22, 22, 21, 21.7, 22, 23, 24, 25, 27, 26.3, 26, 27, 26.1, 26, 25, 23.6, 23, 22, 22, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[88, 89, 90, 91, 91, 90, 90, 89, 88, 85, 79, 69, 53, 44, 48, 48, 41, 51, 60, 76, 83, 84, 85, 86]"
2018-10-12,2018-10-13,"[21, 22, 22, 21, 21, 21, 22, 21.9, 23, 23, 24.7, 25, 26, 25.9, 26, 27, 26.4, 27, 25, 23, 23, 22, 22, 21]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[85, 85, 84, 84, 82, 75, 59, 60, 78, 79, 75, 70, 66, 60, 47, 39, 25, 28, 40, 57, 60, 62, 70, 80]"
